slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.141711,-0.508551,9.527361,6290.595810,-0.316986,1665047.341491,10361.362066,0.353169,20216.086050,0.391278,0.017040,0.055488,1576.383218,62.445448,307.252382
0.794006,-0.595423,6.719320,4423.600218,-0.344533,1653589.305210,7013.728564,1.008145,10705.120273,0.607492,0.023028,0.101408,920.711567,740.513513,856.350732
-0.752117,0.028659,6.653264,6106.115392,-0.188882,2935672.183984,18268.224761,1.090531,12776.932019,0.390491,0.017836,0.133151,4157.941606,-2030.089253,-89.841399
-0.748669,-0.283594,6.985024,5490.754521,-0.552871,1634190.026517,18696.242263,0.313116,7228.377960,0.262874,0.018399,0.144997,6557.884886,-1081.025525,-4.989363
0.852221,0.507676,2.335103,6237.753313,-0.541210,691145.734017,1210.829833,0.841341,4144.985682,0.225992,0.018018,0.115755,3465.420787,657.007735,-666.987764
0.817738,0.062256,4.500932,5777.033258,0.548372,2625799.353773,1236.529935,0.748990,16470.286889,0.581194,0.010742,0.093329,6295.473131,3779.955449,1997.670587
0.199634,-0.042228,6.691461,6648.935577,0.078481,1000394.598330,11394.353353,0.312351,4835.806700,0.462059,0.017985,0.135179,7189.597352,450.069162,247.210389
0.443108,-0.303123,5.864295,3737.578052,0.538797,3406337.689917,466.041818,1.295340,20500.892543,0.608026,0.023991,0.129807,4214.243049,1399.379956,1914.679505
0.457378,-0.217371,6.067203,5808.299393,-0.462577,1819463.758521,10529.223451,0.715896,3949.563925,0.287390,0.023601,0.100115,7376.892484,1329.049393,-71.260772
-0.517617,-0.236763,6.883145,2639.434440,0.010901,1871812.785944,1312.864383,0.949459,13241.904275,0.346937,0.012696,0.134723,1854.069365,-650.296256,130.558955
0.176956,0.330879,8.580379,3416.020649,0.104034,964274.030686,18990.035791,1.054372,6480.653260,0.578685,0.018939,0.132245,3177.723035,312.039410,-954.755582
0.273788,0.301528,9.795712,6402.211257,-0.525949,2069158.833548,1227.509655,0.943500,17139.278104,0.177564,0.016147,0.147819,953.886350,186.138766,-476.107078
-0.112255,0.208888,6.460581,6780.136112,0.096201,992193.463699,16303.411659,1.169499,7581.100507,0.111415,0.021288,0.053290,9646.789615,-960.730543,-705.355497
0.427976,0.370755,7.330911,2929.133224,-0.306114,3927357.251940,5060.045280,0.880072,5879.718523,0.278887,0.020421,0.130622,2145.222199,207.505303,-542.549475
0.576108,0.174498,5.859727,6097.647791,0.226235,2096480.748910,13815.108456,0.885361,12748.645963,0.378219,0.015464,0.107901,4651.591276,2094.926709,-359.592482
0.254231,-0.015188,4.046290,5679.463960,-0.554288,2639801.920082,18665.429567,0.988738,3251.534966,0.168146,0.011960,0.068609,5103.386242,449.914312,-706.745045
-0.405157,-0.413792,9.446824,2227.252611,-0.155276,2005905.306114,5917.376802,0.664360,10385.048324,0.372114,0.016874,0.084889,987.550912,-281.407006,125.038048
-0.061181,0.460147,2.948350,3409.308985,-0.539118,3322438.497109,3454.538495,0.810841,659.046457,0.659422,0.017480,0.097419,4368.260569,-1146.376516,-1704.010658
0.939958,-0.263478,5.549556,4015.207254,0.191559,727814.875259,10099.173360,0.476634,9564.271635,0.574240,0.023305,0.067742,5746.996532,2509.732666,2177.700143
0.502745,-0.163964,8.220229,6028.176400,-0.334964,1519561.905264,14039.539106,0.777384,4573.479601,0.262292,0.020078,0.075806,2470.248652,296.546763,-4.348585
-0.335526,0.521333,8.421425,6010.923005,-0.170803,3313121.411741,1326.164226,0.704791,2387.483489,0.244147,0.017430,0.058993,8592.818310,-1468.515668,-961.164670
0.184069,-0.247145,4.638785,7243.121261,0.332867,1798567.101674,1438.802351,0.996965,3692.246026,0.187278,0.020455,0.149369,6067.409017,-20.721352,1126.142147
0.514300,0.047636,4.769446,2109.435354,-0.061216,1789448.843911,11099.283742,0.711159,11162.396659,0.487529,0.023382,0.090668,1143.672485,415.635854,-96.133234
-0.328966,0.563636,7.985478,5662.347555,0.384123,2279026.809362,12350.001918,0.618837,2902.245874,0.341632,0.021603,0.060299,7879.337186,-1935.990955,-1135.169053
0.250275,0.351118,5.095721,5509.140792,0.455126,632782.748040,17716.822455,0.585772,16664.898258,0.437607,0.012314,0.109829,4354.687505,1522.539887,-1127.244643
-0.969757,-0.096282,3.468929,7136.746561,0.333928,2609167.124620,16000.546140,0.758080,15139.970598,0.438674,0.019115,0.083623,7870.134523,-4091.932530,33.590530
-0.419438,0.582907,8.048201,6714.184531,0.428960,2758116.524616,18918.910993,0.662948,16139.273149,0.317591,0.023482,0.083283,7941.535775,-2349.726742,-968.090248
-0.715799,-0.291531,3.488897,4318.910929,-0.462892,854289.012720,17071.077655,1.032930,14857.008456,0.237902,0.012255,0.056004,3928.753454,-2010.196204,2.813898
0.922085,-0.567476,4.173404,6345.829856,-0.023607,1980160.720650,17790.886973,0.637775,15331.414283,0.309677,0.019929,0.077616,6926.073253,1344.433494,2214.245754
0.049625,-0.402341,5.121800,6174.939627,0.279418,2520360.439175,7068.308355,1.252540,19787.989516,0.414369,0.015729,0.074374,5131.949461,-330.392389,2540.832341
-0.574984,0.031532,4.077795,1926.451706,-0.280641,2864846.408875,13123.021581,0.544438,17283.868710,0.292848,0.010072,0.120531,1513.444980,-674.649944,-88.798776
-0.816848,0.257091,6.556343,4695.838726,0.368903,3237461.059329,19892.074765,0.614361,10221.435196,0.466268,0.023437,0.105661,3194.197985,-1480.512197,-20.901518
