s,x,y,psi
104.3808,100.2500,1.7820,0.187736
104.6348,100.5000,1.8271,0.168986
104.8880,100.7500,1.8672,0.148863
105.1404,101.0000,1.9021,0.128775
105.3922,101.2500,1.9319,0.108044
105.6434,101.5000,1.9563,0.086821
105.8941,101.7500,1.9754,0.065285
106.1445,102.0000,1.9890,0.043819
106.3946,102.2500,1.9973,0.022034
106.6446,102.5000,2.0000,0.000000
106.8946,102.7500,1.9973,-0.022034
107.1448,103.0000,1.9890,-0.043819
107.3952,103.2500,1.9754,-0.065285
107.6459,103.5000,1.9563,-0.086821
107.8971,103.7500,1.9319,-0.108044
108.1488,104.0000,1.9021,-0.128775
108.4013,104.2500,1.8672,-0.148863
108.6545,104.5000,1.8271,-0.168986
108.9085,104.7500,1.7820,-0.187736
109.1634,105.0000,1.7321,-0.206513
109.4194,105.2500,1.6773,-0.224568
109.6763,105.5000,1.6180,-0.241231
109.9343,105.7500,1.5543,-0.257635
110.1934,106.0000,1.4863,-0.273392
110.4536,106.2500,1.4142,-0.287831
110.7148,106.5000,1.3383,-0.301869
110.9772,106.7500,1.2586,-0.314771
111.2406,107.0000,1.1756,-0.326516
111.5051,107.2500,1.0893,-0.337967
111.7706,107.5000,1.0000,-0.347998
112.0370,107.7500,0.9080,-0.357108
112.3042,108.0000,0.8135,-0.365610
112.5723,108.2500,0.7167,-0.372906
112.8411,108.5000,0.6180,-0.379075
113.1105,108.7500,0.5176,-0.384488
113.3804,109.0000,0.4158,-0.388715
113.6508,109.2500,0.3129,-0.392140
113.9215,109.5000,0.2091,-0.394744
114.1924,109.7500,0.1047,-0.396264
114.4635,110.0000,0.0000,-0.396779
114.7345,110.2500,-0.1047,-0.396264
115.0054,110.5000,-0.2091,-0.394744
115.2761,110.7500,-0.3129,-0.392140
115.5465,111.0000,-0.4158,-0.388715
115.8164,111.2500,-0.5176,-0.384488
116.0858,111.5000,-0.6180,-0.379075
116.3546,111.7500,-0.7167,-0.372906
116.6227,112.0000,-0.8135,-0.365610
116.8899,112.2500,-0.9080,-0.357108
117.1563,112.5000,-1.0000,-0.347998
117.4218,112.7500,-1.0893,-0.337967
117.6863,113.0000,-1.1756,-0.326516
117.9497,113.2500,-1.2586,-0.314771
118.2121,113.5000,-1.3383,-0.301869
118.4733,113.7500,-1.4142,-0.287831
118.7335,114.0000,-1.4863,-0.273392
118.9926,114.2500,-1.5543,-0.257635
119.2506,114.5000,-1.6180,-0.241231
119.5075,114.7500,-1.6773,-0.224568
119.7635,115.0000,-1.7321,-0.206513
120.0184,115.2500,-1.7820,-0.187736
120.2724,115.5000,-1.8271,-0.168986
120.5256,115.7500,-1.8672,-0.148863
120.7781,116.0000,-1.9021,-0.128775
121.0298,116.2500,-1.9319,-0.108044
121.2810,116.5000,-1.9563,-0.086821
121.5317,116.7500,-1.9754,-0.065285
121.7821,117.0000,-1.9890,-0.043819
122.0323,117.2500,-1.9973,-0.022034
122.2823,117.5000,-2.0000,0.000000
122.5323,117.7500,-1.9973,0.022034
122.7824,118.0000,-1.9890,0.043819
123.0328,118.2500,-1.9754,0.065285
123.2835,118.5000,-1.9563,0.086821
123.5347,118.7500,-1.9319,0.108044
123.7865,119.0000,-1.9021,0.128775
124.0389,119.2500,-1.8672,0.148863
124.2921,119.5000,-1.8271,0.168986
124.5461,119.7500,-1.7820,0.187736
124.8011,120.0000,-1.7321,0.206513
125.0570,120.2500,-1.6773,0.224568
125.3139,120.5000,-1.6180,0.241231
125.5719,120.7500,-1.5543,0.257635
125.8310,121.0000,-1.4863,0.273392
126.0912,121.2500,-1.4142,0.287831
126.3525,121.5000,-1.3383,0.301869
126.6149,121.7500,-1.2586,0.314771
126.8783,122.0000,-1.1756,0.326516
127.1428,122.2500,-1.0893,0.337967
127.4082,122.5000,-1.0000,0.347998
127.6746,122.7500,-0.9080,0.357108
127.9419,123.0000,-0.8135,0.365610
128.2100,123.2500,-0.7167,0.372906
128.4787,123.5000,-0.6180,0.379075
128.7482,123.7500,-0.5176,0.384488
129.0181,124.0000,-0.4158,0.388715
129.2884,124.2500,-0.3129,0.392140
129.5591,124.5000,-0.2091,0.394744
129.8300,124.7500,-0.1047,0.396264
130.1011,125.0000,-0.0000,0.396779
130.3721,125.2500,0.1047,0.396264
130.6430,125.5000,0.2091,0.394744
130.9137,125.7500,0.3129,0.392140
