label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
lhs0029_n0539_phi177,0.539,17.67,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0029_n0539_phi177_thr40_amp70_seed0.csv
lhs0029_n0539_phi177,0.539,17.67,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0029_n0539_phi177_thr60_amp40_seed0.csv
lhs0029_n0539_phi177,0.539,17.67,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0029_n0539_phi177_thr60_amp70_seed0.csv
lhs0030_n0541_phi238,0.541,23.76,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0030_n0541_phi238_thr40_amp40_seed0.csv
lhs0030_n0541_phi238,0.541,23.76,0.40,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0030_n0541_phi238_thr40_amp70_seed0.csv
lhs0030_n0541_phi238,0.541,23.76,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0030_n0541_phi238_thr60_amp40_seed0.csv
lhs0030_n0541_phi238,0.541,23.76,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0030_n0541_phi238_thr60_amp70_seed0.csv
lhs0031_n0544_phi091,0.544,9.12,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0031_n0544_phi091_thr40_amp40_seed0.csv
lhs0031_n0544_phi091,0.544,9.12,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0031_n0544_phi091_thr40_amp70_seed0.csv
lhs0031_n0544_phi091,0.544,9.12,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0031_n0544_phi091_thr60_amp40_seed0.csv
lhs0031_n0544_phi091,0.544,9.12,0.60,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0031_n0544_phi091_thr60_amp70_seed0.csv
lhs0032_n0546_phi200,0.546,20.03,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0032_n0546_phi200_thr40_amp40_seed0.csv
lhs0032_n0546_phi200,0.546,20.03,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0032_n0546_phi200_thr40_amp70_seed0.csv
